pid,Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits_All,New_AOI_Hits_All
wpi61733866534x70k0,P2.png,Left,2,28,12,24,2,12,34,0,2,2,1634,10,2,4,1,12,5,12,1,5,14,0,1,1,49,4,1,2,134,59
wpi61733866534x70k0,P3.png,Left,2,12,4,19,0,6,22,2,0,2,708,6,0,4,1,6,1,6,0,3,9,1,0,1,29,3,0,1,79,32
wpi61733866534x70k0,P4.png,Left,0,16,6,14,4,6,10,0,8,0,338,0,2,0,0,5,3,6,2,2,5,0,1,0,19,0,1,0,66,25
wpi61733866534x70k0,P5.png,Left,0,16,0,28,2,8,13,0,0,0,951,0,4,0,0,8,0,12,1,3,6,0,0,0,28,0,2,0,71,32
wpi61733866534x70k0,P6.png,Left,0,16,14,14,6,8,31,0,10,4,854,2,4,2,0,8,6,7,3,4,13,0,5,2,38,1,2,1,111,52
wpi61733866534x70k0,P7.png,Right,0,0,0,2,0,0,16,16,8,2,944,6,2,0,0,0,0,1,0,0,8,8,4,1,21,3,1,0,52,26
wpi61733866534x70k0,P8.png,Right,2,6,0,4,0,0,36,18,26,18,1074,8,4,0,1,3,0,2,0,0,14,9,12,8,44,4,2,0,122,55
wpi61733866534x70k0,P9.png,Right,4,14,0,8,0,2,29,12,18,4,780,4,0,0,2,7,0,3,0,1,13,5,6,2,32,2,0,0,95,41
wpi61732n11706z1483,CC1.png,Left,10,154,76,50,22,78,108,6,2,8,1196,6,24,0,3,53,28,13,9,29,37,2,1,3,145,3,9,0,544,190
wpi61732n11706z1483,CC10.png,Right,10,102,8,48,6,24,58,74,50,42,2288,6,22,8,5,40,4,16,3,10,22,28,21,18,155,3,10,4,458,184
wpi61732n11706z1483,CC11.png,Right,22,42,18,22,18,28,32,24,26,18,1252,4,10,6,10,17,7,10,7,12,15,9,10,9,94,2,5,3,270,116
wpi61732n11706z1483,CC12.png,Right,2,22,6,6,0,6,42,46,48,24,1370,10,10,0,1,11,3,3,0,3,19,20,19,12,83,5,4,0,222,100
wpi61732n11706z1483,CC2.png,Left,60,56,106,18,58,28,142,64,32,50,2482,46,85,34,27,25,45,6,27,14,60,27,15,24,258,18,38,15,779,341
wpi61732n11706z1483,CC3.png,Left,28,32,34,8,6,20,28,10,4,6,925,6,12,2,13,13,16,4,2,9,12,4,2,2,73,3,6,1,196,87
wpi61732n11706z1483,CC4.png,Left,18,70,58,50,4,34,98,20,2,10,1757,18,18,2,6,32,27,24,2,15,40,9,1,5,141,8,9,1,402,179
wpi61732n11706z1483,CC5.png,Left,28,50,60,26,2,56,120,0,0,4,853,6,24,2,11,23,27,10,1,26,45,0,0,2,125,3,12,1,378,161
wpi61732n11706z1483,CC6.png,Left,14,82,40,44,42,80,56,16,10,12,1918,14,21,0,7,38,18,19,15,28,23,7,5,5,148,6,9,0,431,180
wpi61732n11706z1483,CC7.png,Right,14,28,18,22,30,12,170,114,18,14,1539,8,18,8,6,13,8,10,10,6,49,34,9,7,138,4,7,2,474,165
wpi61732n11706z1483,CC8.png,Right,52,70,32,28,8,18,52,50,36,26,1936,36,52,8,24,26,10,12,4,7,22,21,13,11,149,16,18,3,468,187
wpi61732n11706z1483,CC9.png,Right,34,64,36,26,16,22,336,104,20,56,3397,40,58,10,16,31,15,13,6,8,100,41,10,25,259,16,25,5,822,311
wpi61732n11706z1483,P1.png,Left,0,86,68,62,66,126,34,10,0,8,1112,8,4,8,0,26,23,22,24,38,15,5,0,4,134,2,2,2,480,163
wpi61732n11706z1483,P10.png,Right,42,280,44,92,2,48,202,138,130,204,3574,48,84,18,16,93,18,37,1,20,68,49,48,72,385,22,38,8,1332,490
wpi61732n11706z1483,P11.png,Right,28,134,6,12,0,12,68,26,8,16,1049,18,26,4,14,35,3,5,0,6,24,9,4,4,100,9,12,2,358,127
wpi61732n11706z1483,P12.png,Right,72,182,48,136,28,36,178,172,86,106,4296,52,76,10,29,62,14,45,10,15,64,59,28,46,328,20,33,4,1182,429
wpi61732n11706z1483,P2.png,Left,54,74,224,10,82,42,446,30,18,44,3413,48,128,38,23,31,81,5,26,16,103,12,7,16,318,18,49,12,1238,399
wpi61732n11706z1483,P3.png,Left,18,76,116,12,46,54,138,36,52,40,1655,36,16,16,7,26,34,5,14,21,46,11,17,15,175,13,7,5,656,221
wpi61732n11706z1483,P4.png,Left,8,72,104,48,32,60,112,8,2,6,1814,8,48,38,4,28,37,21,11,26,32,2,1,3,170,3,18,14,546,200
wpi61732n11706z1483,P5.png,Left,0,76,98,34,38,84,40,50,4,10,1232,0,36,2,0,29,32,14,14,27,17,15,2,5,141,0,15,1,472,171
wpi61732n11706z1483,P6.png,Left,22,106,80,100,78,74,612,38,10,22,3202,50,48,10,6,28,35,27,27,23,132,7,5,8,269,20,20,4,1250,342
wpi61732n11706z1483,P7.png,Right,14,146,54,154,54,106,215,204,186,102,3584,38,62,26,6,42,20,58,18,43,73,68,67,39,361,13,24,10,1361,481
wpi61732n11706z1483,P8.png,Right,110,86,16,18,6,2,178,108,40,94,2105,64,114,4,37,34,8,7,3,1,66,39,14,35,238,24,40,2,840,310
wpi61732n11706z1483,P9.png,Right,74,274,42,66,4,36,134,52,24,56,2199,44,126,10,24,93,18,27,2,16,41,23,10,24,268,17,39,5,942,339
wpi61738b721104t176,CC1.png,Left,6,26,98,26,42,42,110,62,10,34,1660,18,48,20,3,11,36,9,17,17,37,22,4,15,163,9,19,7,542,206
wpi61738b721104t176,CC10.png,Right,26,54,50,14,0,6,70,10,4,14,859,24,52,12,9,22,16,7,0,2,23,3,2,7,98,9,22,4,336,126
wpi61738b721104t176,CC11.png,Right,0,46,32,16,10,26,80,16,10,6,525,10,30,0,0,17,15,6,5,12,26,6,3,3,79,5,10,0,282,108
wpi61738b721104t176,CC12.png,Right,14,44,42,8,0,2,60,10,24,14,637,12,30,0,6,17,14,4,0,1,19,4,8,7,85,6,13,0,260,99
wpi61738b721104t176,CC2.png,Left,29,68,226,58,101,102,186,94,24,58,2507,36,100,12,12,26,83,21,43,44,56,33,9,26,320,17,36,6,1094,412
wpi61738b721104t176,CC3.png,Left,171,2,164,12,62,48,104,66,6,26,2560,210,160,10,65,1,60,3,24,20,37,21,1,12,309,78,62,5,1041,389
wpi61738b721104t176,CC4.png,Left,22,0,70,0,32,10,156,46,16,28,946,18,54,6,5,0,26,0,12,4,49,15,6,11,133,8,26,2,458,164
wpi61738b721104t176,CC5.png,Left,24,14,14,24,30,34,206,18,0,2,926,64,70,10,11,6,5,8,13,14,47,7,0,1,129,25,27,5,510,169
wpi61738b721104t176,CC6.png,Left,62,18,38,4,18,4,122,16,14,14,776,12,22,0,19,8,14,1,9,2,35,6,5,7,95,6,10,0,344,122
wpi61738b721104t176,CC7.png,Right,36,54,22,76,4,20,48,10,36,44,980,24,14,20,15,16,9,27,2,9,17,4,10,15,130,12,6,8,408,150
wpi61738b721104t176,CC8.png,Right,8,86,2,66,20,10,112,50,52,38,869,18,50,6,4,34,1,19,7,3,40,18,17,17,157,8,21,3,518,192
wpi61738b721104t176,CC9.png,Right,24,62,2,24,4,4,207,18,12,32,1392,18,58,8,9,26,1,11,2,2,67,8,6,14,142,9,23,4,473,182
wpi61738b721104t176,P1.png,Left,8,6,78,6,82,24,56,40,30,18,705,10,14,10,4,3,26,3,26,11,15,17,12,7,102,4,7,5,382,140
wpi61738b721104t176,P10.png,Right,28,28,26,20,0,18,64,17,14,22,658,38,26,10,13,9,9,10,0,8,19,4,5,9,96,16,13,4,311,119
wpi61738b721104t176,P11.png,Right,14,65,22,28,4,14,80,20,24,22,688,26,36,8,6,27,6,14,2,6,30,8,9,10,104,11,15,3,363,147
wpi61738b721104t176,P12.png,Right,24,174,24,50,0,18,252,56,36,120,1461,92,122,10,12,56,9,21,0,7,77,19,8,47,258,34,54,5,978,349
wpi61738b721104t176,P2.png,Left,68,18,74,16,52,28,468,42,2,20,2129,92,90,26,28,9,31,7,22,12,111,20,1,9,250,36,36,12,996,334
wpi61738b721104t176,P3.png,Left,30,40,102,24,74,46,250,70,6,24,2060,72,82,18,14,16,45,11,30,17,77,27,3,11,259,25,33,7,838,316
wpi61738b721104t176,P4.png,Left,10,20,82,10,22,36,94,4,0,6,816,10,44,10,5,9,29,5,11,18,35,2,0,3,119,5,22,3,348,147
wpi61738b721104t176,P5.png,Left,12,28,124,20,94,44,68,52,24,40,1046,13,32,18,6,11,41,6,29,16,24,19,7,16,163,7,15,7,569,204
wpi61738b721104t176,P6.png,Left,70,16,102,24,72,52,122,24,0,12,1301,40,66,22,24,8,39,9,29,20,36,10,0,4,184,17,28,11,622,235
wpi61738b721104t176,P7.png,Right,38,140,16,74,24,46,475,74,88,72,3629,112,138,34,17,60,7,34,10,20,148,28,27,31,395,49,64,17,1331,512
wpi61738b721104t176,P8.png,Right,42,116,18,22,0,16,168,10,2,36,1285,77,62,4,19,37,9,10,0,5,40,5,1,14,152,24,26,2,573,192
wpi61738b721104t176,P9.png,Right,4,232,26,116,34,22,112,32,38,80,1496,14,46,36,2,66,10,43,8,11,36,12,12,36,224,7,21,11,792,275
wpi6mj1739394319224,IC1.png,Left,9,8,45,16,44,22,20,6,29,20,829,16,10,13,4,4,16,8,20,10,8,3,12,10,87,7,5,6,258,113
wpi6mj1739394319224,IC10.png,Right,2,18,14,11,2,6,67,13,4,4,366,10,18,2,1,7,5,4,1,3,20,5,2,2,47,5,8,1,171,64
wpi6mj1739394319224,IC11.png,Right,8,12,7,14,6,10,31,9,4,8,494,14,0,4,4,5,3,6,3,5,12,4,2,3,36,4,0,2,127,53
wpi6mj1739394319224,IC12.png,Right,24,30,40,68,45,34,29,13,31,28,2382,3,11,51,11,14,18,25,19,14,12,5,13,12,145,1,5,23,407,172
wpi6mj1739394319224,IC2.png,Left,9,41,87,12,58,40,94,87,72,56,1735,4,21,30,3,16,36,6,22,14,33,34,27,25,185,2,9,13,611,240
wpi6mj1739394319224,IC3.png,Left,11,18,41,7,53,24,18,27,80,56,1255,5,23,34,5,7,18,3,22,11,6,12,26,24,126,1,9,16,397,160
wpi6mj1739394319224,IC4.png,Left,0,17,21,45,34,39,7,2,10,6,1030,5,3,32,0,6,8,18,13,13,3,1,4,3,70,2,1,12,221,84
wpi6mj1739394319224,IC5.png,Left,0,3,13,19,21,6,19,1,31,6,640,10,7,20,0,1,6,7,8,3,7,1,11,3,51,5,3,5,156,60
wpi6mj1739394319224,IC6.png,Left,6,18,39,15,48,39,45,20,20,22,1304,4,22,12,3,8,17,7,20,15,20,9,9,11,100,2,10,5,310,136
wpi6mj1739394319224,IC7.png,Right,0,16,5,54,6,7,39,32,30,18,1149,4,8,30,0,6,2,21,3,3,15,13,12,7,86,2,4,14,249,102
wpi6mj1739394319224,IC8.png,Right,9,8,9,2,2,6,20,2,2,11,476,2,0,0,3,3,3,1,1,3,8,1,1,4,24,1,0,0,73,29
wpi6mj1739394319224,IC9.png,Right,34,44,57,53,51,37,60,22,9,17,1892,28,35,15,14,19,28,22,20,18,24,9,4,7,170,13,16,6,462,200
wpi6mj1739394319224,P1.png,Left,6,6,23,26,25,13,26,19,22,8,615,10,8,10,3,2,7,12,10,6,10,9,6,3,60,4,3,5,202,80
wpi6mj1739394319224,P10.png,Right,10,138,89,162,124,145,74,33,31,69,2055,5,35,23,5,59,37,69,50,63,25,12,15,32,292,2,16,10,938,395
wpi6mj1739394319224,P11.png,Right,0,0,0,0,4,0,0,0,2,0,1041,0,0,32,0,0,0,0,2,0,0,0,1,0,16,0,0,12,38,15
wpi6mj1739394319224,P12.png,Right,0,0,0,13,30,7,0,0,3,0,1590,0,0,34,0,0,0,5,12,3,0,0,1,0,31,0,0,15,87,36
wpi6mj1739394319224,P2.png,Left,0,4,5,21,58,18,2,0,10,9,2026,0,4,54,0,2,2,9,24,8,1,0,4,4,59,0,1,24,185,79
wpi6mj1739394319224,P3.png,Left,0,18,38,6,23,10,13,12,46,22,1049,0,4,28,0,6,14,2,10,3,6,5,21,8,75,0,2,11,220,88
wpi6mj1739394319224,P4.png,Left,0,6,35,9,44,27,15,29,56,44,693,2,2,0,0,2,15,3,18,11,5,13,23,20,85,1,1,0,269,112
wpi6mj1739394319224,P5.png,Left,0,8,7,18,12,14,2,0,2,5,1301,0,0,23,0,3,3,8,6,6,1,0,1,2,28,0,0,10,91,40
wpi6mj1739394319224,P6.png,Left,0,0,3,0,14,0,0,2,19,2,1807,0,0,36,0,0,1,0,7,0,0,1,6,1,29,0,0,14,76,30
wpi6mj1739394319224,P7.png,Right,0,89,34,118,85,76,11,62,53,83,1466,0,0,25,0,35,14,46,35,33,5,26,21,32,188,0,0,10,636,257
wpi6mj1739394319224,P8.png,Right,0,0,0,10,12,4,4,0,9,0,1972,0,0,23,0,0,0,5,5,2,2,0,4,0,28,0,0,11,62,29
wpi6mj1739394319224,P9.png,Right,4,64,76,77,47,37,59,59,40,36,1708,8,30,26,2,28,31,34,19,17,20,23,17,17,179,4,12,12,563,236
wpi61m7412r29608936,IC1.png,Left,12,28,26,0,0,3,105,9,0,3,590,3,28,0,4,8,9,0,0,2,38,3,0,1,57,3,12,0,217,80
wpi61m7412r29608936,IC10.png,Right,2,15,4,0,1,1,82,27,0,3,547,7,5,0,1,11,1,0,1,1,29,10,0,2,56,2,4,0,147,62
wpi61m7412r29608936,IC11.png,Right,6,9,0,0,0,0,140,11,0,0,535,19,14,0,5,3,0,0,0,0,40,2,0,0,50,9,6,0,199,65
wpi61m7412r29608936,IC12.png,Right,12,26,0,0,0,0,126,22,5,1,694,39,15,0,9,10,0,0,0,0,60,8,1,1,87,20,6,0,246,115
wpi61m7412r29608936,IC2.png,Left,10,10,37,0,0,4,261,2,3,4,1458,52,27,0,6,5,13,0,0,2,91,1,1,2,129,28,15,0,410,164
wpi61m7412r29608936,IC3.png,Left,12,8,7,0,0,0,119,2,1,5,662,27,35,0,6,4,3,0,0,0,49,2,1,3,79,13,16,0,216,97
wpi61m7412r29608936,IC4.png,Left,7,2,5,0,0,0,105,0,0,0,518,24,14,0,2,2,3,0,0,0,42,0,0,0,56,11,8,0,157,68
wpi61m7412r29608936,IC5.png,Left,19,21,28,0,0,2,110,0,0,0,738,18,22,0,8,12,7,0,0,1,43,0,0,0,70,8,11,0,220,90
wpi61m7412r29608936,IC6.png,Left,9,0,7,0,0,0,99,0,0,0,526,17,7,0,3,0,4,0,0,0,38,0,0,0,53,9,4,0,139,58
wpi61m7412r29608936,IC7.png,Right,8,19,20,1,0,1,103,3,0,4,740,22,6,0,4,10,10,1,0,1,43,2,0,2,78,11,4,0,187,88
wpi61m7412r29608936,IC8.png,Right,17,88,6,35,2,12,472,48,2,18,1645,95,66,11,8,31,3,13,2,4,152,23,1,9,256,42,30,4,872,322
wpi61m7412r29608936,IC9.png,Right,18,34,3,5,1,10,337,18,0,2,1022,57,37,0,8,11,3,3,1,3,108,11,0,1,151,26,17,0,522,192
wpi61m7412r29608936,P1.png,Left,1,21,35,11,1,9,73,0,0,0,624,7,13,0,1,17,16,5,1,6,35,0,0,0,77,4,6,0,171,91
wpi61m7412r29608936,P10.png,Right,5,23,0,3,0,2,114,20,2,3,522,6,20,0,3,12,0,1,0,1,49,8,2,3,76,4,7,0,198,90
wpi61m7412r29608936,P11.png,Right,12,20,7,9,0,6,156,56,3,23,845,9,21,2,7,13,3,4,0,2,68,23,1,8,127,6,9,2,324,146
wpi61m7412r29608936,P12.png,Right,8,14,2,1,0,2,226,13,0,4,1090,38,10,0,4,5,1,1,0,2,86,10,0,3,116,18,5,0,318,135
wpi61m7412r29608936,P2.png,Left,64,70,189,22,61,55,367,170,147,132,3842,76,94,7,31,39,80,12,32,29,130,66,52,51,497,43,45,4,1454,614
wpi61m7412r29608936,P3.png,Left,33,38,42,10,8,21,288,10,2,9,1459,39,35,4,19,19,24,7,7,12,105,6,1,5,208,23,23,2,539,253
wpi61m7412r29608936,P4.png,Left,0,30,2,12,2,8,66,2,0,0,566,2,1,0,0,14,1,2,2,2,32,2,0,0,49,1,1,0,125,57
wpi61m7412r29608936,P5.png,Left,24,200,103,53,38,80,179,8,0,31,1871,23,28,3,10,81,36,24,19,41,63,3,0,13,276,10,15,3,770,318
wpi61m7412r29608936,P6.png,Left,0,40,21,4,1,12,293,1,2,2,1315,41,42,0,0,17,11,3,1,8,100,1,1,2,142,14,18,0,459,176
wpi61m7412r29608936,P7.png,Right,4,8,3,6,10,11,185,23,9,12,1060,13,18,1,3,5,1,5,3,7,71,15,4,8,122,11,10,1,303,144
wpi61m7412r29608936,P8.png,Right,6,0,0,0,0,1,136,6,5,4,648,20,21,0,4,0,0,0,0,1,53,4,1,1,69,13,8,0,199,85
wpi61m7412r29608936,P9.png,Right,54,179,39,48,15,49,442,106,31,50,2904,69,85,8,32,78,19,26,6,25,184,51,13,25,423,37,45,5,1175,546
wpi6j17320561193z94,IC1.png,Left,20,10,10,8,23,8,25,26,20,6,1189,2,18,6,10,5,5,4,9,4,11,9,9,2,73,1,9,3,182,81
wpi6j17320561193z94,IC10.png,Right,6,16,14,8,8,6,12,4,8,4,613,7,10,0,2,7,7,4,3,3,5,2,3,2,38,3,4,0,103,45
wpi6j17320561193z94,IC11.png,Right,24,21,19,2,14,22,14,21,22,21,1233,0,10,10,11,7,9,1,7,9,6,9,11,10,75,0,5,3,200,88
wpi6j17320561193z94,IC12.png,Right,4,12,20,10,8,10,6,4,6,0,900,2,6,8,2,5,8,5,3,3,3,2,3,0,35,1,2,2,96,39
wpi6j17320561193z94,IC2.png,Left,51,112,60,54,26,38,115,46,24,24,5106,30,31,14,23,53,26,24,11,17,51,20,11,11,225,14,14,7,625,282
wpi6j17320561193z94,IC3.png,Left,8,12,20,6,9,12,37,31,8,9,1542,2,10,2,4,5,10,3,5,5,13,11,4,5,60,1,5,1,166,72
wpi6j17320561193z94,IC4.png,Left,2,13,16,14,24,17,16,8,18,10,1039,4,0,6,1,6,7,6,12,6,8,3,9,5,56,2,0,3,148,68
wpi6j17320561193z94,IC5.png,Left,16,10,20,12,28,22,18,10,5,2,578,4,12,4,7,5,9,3,10,10,7,4,2,1,56,2,5,2,163,67
wpi6j17320561193z94,IC6.png,Left,4,6,18,26,14,12,8,15,10,2,1341,4,2,4,2,3,8,9,7,6,3,8,5,1,46,2,1,2,125,57
wpi6j17320561193z94,IC7.png,Right,6,22,28,12,10,8,20,14,18,10,888,0,9,2,3,9,12,6,5,4,9,7,7,5,60,0,5,1,159,73
wpi6j17320561193z94,IC8.png,Right,14,22,32,26,26,12,30,16,25,21,2916,2,8,10,7,10,15,13,10,5,14,8,13,11,92,1,4,5,244,116
wpi6j17320561193z94,IC9.png,Right,27,46,32,19,6,16,75,30,70,24,4294,9,27,20,12,20,16,8,3,7,34,14,32,12,152,5,11,10,401,184
wpi6j17320561193z94,P1.png,Left,4,8,26,12,12,10,38,18,14,22,763,8,12,12,1,4,12,6,6,5,17,8,6,10,74,3,5,5,196,88
wpi6j17320561193z94,P10.png,Right,14,72,34,52,52,53,30,24,28,36,1469,10,38,55,7,26,12,20,21,20,13,11,10,15,152,5,15,20,498,195
wpi6j17320561193z94,P11.png,Right,30,48,42,27,28,38,76,26,18,16,2165,14,24,6,15,20,16,12,13,19,29,11,9,8,140,7,11,3,393,173
wpi6j17320561193z94,P12.png,Right,8,58,64,22,30,26,33,18,16,20,1944,2,20,18,4,27,26,11,8,13,13,9,8,10,122,1,10,8,335,148
wpi6j17320561193z94,P2.png,Left,32,63,95,84,69,65,72,80,42,58,4180,14,21,16,15,25,38,36,31,31,31,35,21,27,250,7,8,7,711,312
wpi6j17320561193z94,P3.png,Left,52,33,65,84,50,36,82,39,30,34,3283,8,26,8,21,16,30,33,25,15,34,17,14,14,197,4,13,4,547,240
wpi6j17320561193z94,P4.png,Left,6,49,38,36,14,18,49,15,10,12,1403,2,15,10,3,21,18,18,6,8,20,5,4,6,92,1,7,4,274,121
wpi6j17320561193z94,P5.png,Left,4,6,10,10,4,4,12,4,0,2,827,4,10,6,2,3,4,5,2,2,6,2,0,1,29,2,5,2,76,36
