pid,date,Condition,OS,MA_EM_1,MA_EM_2,MA_EM_3,MA_EM_4,MA_WO_1,MA_WO_2,MA_WO_3,MA_WO_4,MA_EV_1,MA_EV_2,MA_EV_3,age,gender,race_ethnicity
WPI6_1f730130297q771,2024-10-28_12h03.30.592,Congruent,MacIntel,2,2,3,2,3,4,3,2,5,5,5,21,2,5
WPI6_1i7304e00496415,2024-10-31_15h06.37.126,Congruent,Win32,3,3,3,3,3,3,3,4,4,5,5,21,1,3
WPI6_1i73396523t4991,2024-12-11_20h18.52.515,Incongruent,Win32,3,1,3,4,4,4,3,4,4,4,4,22,2,1
WPI6_1i7z33955583506,2024-12-11_17h34.24.533,Congruent,Win32,5,1,1,1,1,1,1,1,5,1,1,20,1,5
WPI6_1l7339482913t05,2024-12-11_15h30.42.479,Incongruent,Win32,1,1,1,1,1,1,1,1,1,1,1,19,1,1
WPI6_1o72998d8194381,2024-10-26_20h39.31.088,Congruent,MacIntel,3,3,2,2,4,3,1,1,3,2,1,18,1,5
WPI6_1r7320512a66565,2024-11-19_16h41.18.187,Congruent,Win32,1,2,2,1,2,2,2,2,4,1,3,17,2,3
WPI6_1s7297926890r26,2024-10-24_17h33.40.940,Congruent,Win32,3,3,4,3,3,2,2,3,4,4,5,22,1,1
WPI6_1v729990s628152,2024-10-26_21h13.06.749,Incongruent,Win32,1,1,1,1,1,1,2,1,2,3,4,20,3,1
WPI6_1v733i955008467,2024-12-11_17h25.30.065,Incongruent,Win32,4,1,1,1,1,2,1,1,3,1,1,19,3,1
WPI6_1wq733864020191,2024-12-10_16h12.06.731,Congruent,Win32,1,1,2,2,2,3,3,4,2,1,2,18,1,1
WPI6_1y733962t796929,2024-12-11_19h36.41.291,Congruent,Win32,4,2,2,2,5,3,3,3,5,5,5,19,2,1
WPI6_d173397n9368828,2024-12-12_00h13.48.579,Incongruent,MacIntel,4,2,4,3,5,1,2,4,3,5,5,18,2,5
WPI6_e1733y347534582,2024-12-04_16h46.41.494,Congruent,Win32,1,1,1,3,3,2,2,2,3,4,4,21,1,1
WPI6_im1729883307292,2024-10-25_15h35.59.824,Congruent,MacIntel,4,1,3,2,4,2,3,1,4,2,3,18,1,5
WPI6_j17320561193z94,2024-11-20_14h16.39.657,Incongruent,Win32,3,4,4,3,3,2,3,4,3,2,3,21,1,1
WPI6_l1733792v298275,2024-12-09_20h27.12.541,Incongruent,Win32,3,2,2,1,1,1,3,3,5,3,5,20,1,5
WPI6_o1d733879690572,2024-12-10_20h33.22.136,Congruent,Win32,1,3,2,3,4,5,3,3,5,5,4,19,1,7
WPI6_p173e3404848397,2024-12-05_08h36.23.926,Congruent,Win32,2,2,2,1,1,2,3,5,4,5,5,20,2,3
WPI6_p17b29773735995,2024-10-24_09h06.58.456,Incongruent,Win32,1,1,1,1,1,1,1,1,1,1,1,18,4,5
WPI6_q1r733262180904,2024-12-03_17h04.19.954,Incongruent,Win32,1,1,2,1,3,3,3,4,4,3,4,18,1,5
WPI6_t173k3427113063,2024-12-05_14h47.47.431,Congruent,MacIntel,2,1,2,2,2,1,1,1,2,3,4,20,2,1
WPI6_v1o731016901691,2024-11-07_17h21.49.850,Incongruent,MacIntel,2,3,5,4,5,2,3,4,5,5,5,21,2,5
WPI6_y173o3868476910,2024-12-10_18h06.33.679,Incongruent,Win32,2,3,1,2,3,4,3,5,5,5,5,19,3,5
WPI6_z17l33879987190,2024-12-10_20h33.31.234,Congruent,MacIntel,1,1,1,2,2,2,1,1,3,3,3,20,2,1
