,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Response Time,Trial Type,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Color Word Shown,Color Ink Shown,Color Pressed,Late Response,Time Sent Utc,Detail,Finger Used
48,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,742,583,Congruent,26,119.806778,106.695274,CONGRUENT,1,Orange,Orange,Orange,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
49,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,652,600,Incongruent,27,117.868652,64.62204,INCONGRUENT,1,Pink,White,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
50,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,712,650,Congruent,28,118.387939,81.17128,CONGRUENT,1,Green,Green,Green,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
51,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,672,517,Congruent,29,117.58873,88.31327,CONGRUENT,0,Orange,Orange,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
52,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,712,533,Congruent,30,119.583031,127.626816,CONGRUENT,1,Pink,Pink,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
53,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,622,500,Incongruent,31,116.471619,69.64124,INCONGRUENT,1,Green,White,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
54,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,582,450,Incongruent,32,120.39682,140.558685,INCONGRUENT,1,Orange,White,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
55,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,532,634,Incongruent,33,118.640686,109.824532,INCONGRUENT,1,White,Pink,Pink,1,2024-10-23T20:19:08.6850000Z,N/A,N/A
56,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,702,783,Congruent,34,116.23938,65.05075,CONGRUENT,1,Orange,Orange,Orange,1,2024-10-23T20:19:08.6850000Z,N/A,N/A
57,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,742,500,Congruent,35,118.179977,110.375961,CONGRUENT,0,Green,Green,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
