,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Object Count,Response Time,Stimulus Array Time,Total Taps,Point 0 RT,Tap 0 RT,Point 1 RT,Tap 1 RT,Point 2 RT,Tap 2 RT,Point 3 RT,Tap 3 RT,Point 4 RT,Tap 4 RT,Point 5 RT,Tap 5 RT,Point 6 RT,Tap 6 RT,Point 7 RT,Tap 7 RT,Point 8 RT,Tap 8 RT,Point 9 RT,Tap 9 RT,Point 10 RT,Tap 10 RT,Point 11 RT,Tap 11 RT,Point 12 RT,Tap 12 RT,Point 13 RT,Tap 13 RT,Point 14 RT,Tap 14 RT,Time Sent Utc,Detail,Finger Used
68,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,19,64.28209,9.123776,DEFAULT,1,8,4050,9000,8,"{427, 315}",333,"{446, 61}",433,"{591, 244}",650,"{640, 122}",584,"{456, 183}",516,"{249, 41}",517,"{99, 293}",517,"{230, 224}",500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
69,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,20,64.37436,9.68558,DEFAULT,0,8,4716,9000,6,"{446, 61}",400,"{230, 224}",866,"{640, 122}",800,"{456, 183}",900,"{427, 315}",967,"{249, 41}",783,"{49, 102}",N/A,"{99, 293}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
70,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,21,64.28607,9.068245,DEFAULT,0,8,2116,9000,5,"{446, 61}",316,"{456, 183}",500,"{99, 293}",434,"{230, 224}",400,"{49, 102}",466,"{249, 41}",N/A,"{591, 244}",N/A,"{427, 315}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
71,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,22,64.30944,9.532897,DEFAULT,1,8,5150,9000,8,"{446, 61}",450,"{640, 122}",400,"{99, 293}",417,"{249, 41}",450,"{49, 102}",650,"{427, 315}",733,"{230, 224}",700,"{456, 183}",1350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
72,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,23,64.32234,10.8122683,DEFAULT,0,8,3650,9000,7,"{640, 122}",534,"{230, 224}",550,"{49, 102}",683,"{456, 183}",467,"{446, 61}",416,"{249, 41}",417,"{99, 293}",583,"{591, 244}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
73,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,24,64.2976,10.4966888,DEFAULT,0,8,3300,9000,6,"{456, 183}",334,"{249, 41}",450,"{427, 315}",383,"{230, 224}",533,"{99, 293}",834,"{640, 122}",766,"{591, 244}",N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
74,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,25,64.33257,10.0019922,DEFAULT,1,8,4766,9000,8,"{456, 183}",333,"{99, 293}",733,"{427, 315}",467,"{446, 61}",450,"{230, 224}",667,"{591, 244}",933,"{640, 122}",617,"{49, 102}",566,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
75,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,26,64.13742,12.5403214,DEFAULT,0,8,3184,9000,6,"{99, 293}",350,"{49, 102}",600,"{427, 315}",600,"{446, 61}",500,"{591, 244}",417,"{249, 41}",717,"{640, 122}",N/A,"{230, 224}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
76,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,27,64.3759842,9.943501,DEFAULT,0,8,3284,9000,4,"{49, 102}",384,"{249, 41}",466,"{456, 183}",1667,"{99, 293}",767,"{230, 224}",N/A,"{427, 315}",N/A,"{591, 244}",N/A,"{640, 122}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
77,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,28,64.28668,9.6529,DEFAULT,0,8,4283,9000,7,"{456, 183}",283,"{427, 315}",584,"{249, 41}",650,"{230, 224}",750,"{640, 122}",1000,"{49, 102}",567,"{591, 244}",449,"{99, 293}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
