,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Object Count,Response Time,Stimulus Array Time,Total Taps,Point 0 RT,Tap 0 RT,Point 1 RT,Tap 1 RT,Point 2 RT,Tap 2 RT,Point 3 RT,Tap 3 RT,Point 4 RT,Tap 4 RT,Point 5 RT,Tap 5 RT,Point 6 RT,Tap 6 RT,Point 7 RT,Tap 7 RT,Point 8 RT,Tap 8 RT,Point 9 RT,Tap 9 RT,Point 10 RT,Tap 10 RT,Point 11 RT,Tap 11 RT,Point 12 RT,Tap 12 RT,Point 13 RT,Tap 13 RT,Point 14 RT,Tap 14 RT,Time Sent Utc,Detail,Finger Used
464,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,8000,0,118.390778,122.920563,DEFAULT,1,3,3250,4000,3,"{99, 293}",1300,"{230, 224}",1166,"{446, 61}",784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
465,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,8000,1,117.094261,111.80114,DEFAULT,1,3,3417,4000,3,"{456, 183}",1684,"{230, 224}",900,"{591, 244}",833,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
466,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,9000,2,117.424194,122.430367,DEFAULT,1,4,3883,5000,4,"{456, 183}",800,"{99, 293}",950,"{640, 122}",900,"{230, 224}",1233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
467,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,9000,3,118.442909,105.505577,DEFAULT,1,4,3733,5000,4,"{249, 41}",1100,"{640, 122}",833,"{99, 293}",917,"{49, 102}",883,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
468,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,10000,4,117.63739,115.1566,DEFAULT,1,5,4083,6000,5,"{99, 293}",783,"{427, 315}",750,"{591, 244}",884,"{230, 224}",766,"{249, 41}",900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
469,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,10000,5,119.091637,99.71435,DEFAULT,0,5,3500,6000,4,"{640, 122}",500,"{230, 224}",733,"{99, 293}",834,"{456, 183}",1433,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
470,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,10000,6,117.687492,126.31781,DEFAULT,1,5,4850,6000,5,"{249, 41}",1333,"{446, 61}",1183,"{640, 122}",867,"{427, 315}",750,"{230, 224}",717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
471,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,10000,7,117.025742,122.528755,DEFAULT,1,5,5684,6000,5,"{230, 224}",2034,"{640, 122}",1166,"{456, 183}",834,"{591, 244}",766,"{249, 41}",884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
472,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,11000,8,116.891991,121.039551,DEFAULT,0,6,1750,7000,1,"{446, 61}",1750,"{49, 102}",N/A,"{456, 183}",N/A,"{230, 224}",N/A,"{427, 315}",N/A,"{249, 41}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
473,2024-11-12T16:41:25.3550000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_1731u428574p274,Successful,0,Real,Windows 10,880,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,11000,9,117.325958,125.68795,DEFAULT,0,6,5067,7000,5,"{249, 41}",934,"{446, 61}",967,"{640, 122}",1166,"{49, 102}",1050,"{99, 293}",950,"{427, 315}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-11-12T16:41:25.3550000Z,N/A,N/A
